time,price
1749945867.74,63.924
1749945868.208,63.924
1749945868.74,63.933
1749945869.257,63.934
1749945869.757,63.933
1749945870.01,63.933
1749945870.256,63.935
1749945870.743,63.935
1749945871.211,63.935
1749945871.759,63.935
1749945872.242,63.934
1749945872.759,63.936
1749945873.014,63.936
1749945873.245,63.935
1749945873.76,63.936
1749945874.215,63.936
1749945874.775,63.936
1749945875.243,63.937
1749945875.751,63.936
1749945876.016,63.936
1749945876.262,63.933
1749945876.761,63.935
1749945877.217,63.935
1749945877.778,63.931
1749945878.248,63.931
1749945878.763,63.93
1749945879.018,63.93
1749945879.248,63.932
1749945879.765,63.933
1749945880.22,63.933
1749945880.749,63.932
1749945881.248,63.929
1749945881.75,63.927
1749945882.021,63.927
1749945882.266,63.926
1749945882.75,63.925
1749945883.221,63.925
1749945883.771,63.927
1749945884.252,63.927
1749945884.751,63.926
1749945885.021,63.926
1749945885.266,63.926
1749945885.752,63.927
1749945886.222,63.927
1749945886.752,63.92
1749945887.252,63.919
1749945887.739,63.921
1749945888.022,63.921
1749945888.238,63.923
1749945888.756,63.924
1749945889.223,63.924
1749945889.739,63.924
1749945890.256,63.924
1749945890.74,63.924
1749945891.023,63.924
1749945891.24,63.923
1749945891.74,63.923
1749945892.225,63.923
1749945892.742,63.921
1749945893.241,63.922
1749945893.742,63.921
1749945894.026,63.921
1749945894.243,63.923
1749945894.758,63.924
1749945895.227,63.924
1749945895.744,63.923
1749945896.243,63.918
1749945896.742,63.916
1749945897.027,63.916
1749945897.259,63.917
1749945897.744,63.914
1749945898.228,63.914
1749945898.744,63.916
1749945899.244,63.915
1749945899.744,63.919
1749945900.029,63.919
1749945900.26,63.918
1749945900.762,63.915
1749945901.228,63.915
1749945901.761,63.909
1749945902.261,63.906
1749945902.778,63.906
1749945903.029,63.906
1749945903.284,63.904
1749945903.764,63.904
1749945904.23,63.904
1749945904.764,63.907
1749945905.248,63.908
1749945905.764,63.907
1749945906.032,63.907
1749945906.248,63.907
1749945906.796,63.907
1749945907.231,63.907
1749945907.752,63.906
1749945908.269,63.907
1749945908.751,63.907
1749945909.033,63.907
1749945909.268,63.908
1749945909.751,63.907
1749945910.234,63.907
1749945910.784,63.909
1749945911.253,63.909
1749945911.768,63.91
1749945912.034,63.91
1749945912.253,63.908
1749945912.77,63.908
1749945913.235,63.908
1749945913.77,63.908
1749945914.286,63.907
1749945914.801,63.906
1749945915.035,63.906
1749945915.287,63.907
1749945915.802,63.908
1749945916.237,63.908
1749945916.771,63.902
1749945917.289,63.903
1749945917.774,63.904
1749945918.037,63.904
1749945918.275,63.903
1749945918.775,63.901
1749945919.238,63.901
1749945919.79,63.901
1749945920.291,63.903
1749945920.791,63.902
1749945921.037,63.902
1749945921.292,63.9
1749945921.807,63.899
1749945922.237,63.899
1749945922.793,63.894
1749945923.277,63.892
1749945923.824,63.893
1749945924.037,63.893
1749945924.294,63.895
1749945924.794,63.895
1749945925.238,63.895
1749945925.81,63.89
1749945926.293,63.89
1749945926.809,63.887
1749945927.038,63.887
1749945927.294,63.886
1749945927.797,63.885
1749945928.239,63.885
1749945928.796,63.884
1749945929.297,63.885
1749945929.797,63.884
1749945930.039,63.884
1749945930.312,63.882
1749945930.798,63.889
1749945931.239,63.889
1749945931.813,63.891
1749945932.313,63.892
1749945932.82,63.89
1749945933.04,63.89
1749945933.315,63.891
1749945933.816,63.89
1749945934.24,63.89
1749945934.816,63.89
1749945935.331,63.891
1749945935.816,63.89
1749945936.039,63.89
1749945936.315,63.889
1749945936.8,63.89
1749945937.241,63.89
1749945937.818,63.893
1749945938.35,63.892
1749945938.819,63.893
1749945939.042,63.893
1749945939.318,63.894
1749945939.818,63.898
1749945940.243,63.898
1749945940.837,63.897
1749945941.335,63.897
1749945941.819,63.895
1749945942.043,63.895
1749945942.32,63.893
1749945942.822,63.895
1749945943.242,63.895
1749945943.821,63.895
1749945944.321,63.893
1749945944.837,63.895
1749945945.043,63.895
1749945945.337,63.893
1749945945.822,63.894
1749945946.244,63.894
1749945946.824,63.896
1749945947.325,63.895
1749945947.84,63.895
1749945948.043,63.895
1749945948.338,63.897
1749945948.838,63.898
1749945949.245,63.898
1749945949.838,63.9
1749945950.338,63.899
1749945950.856,63.9
1749945951.339,63.899
1749945951.839,63.898
1749945952.246,63.898
1749945952.842,63.898
1749945953.341,63.899
1749945953.841,63.899
1749945954.047,63.899
1749945954.357,63.9
1749945954.841,63.902
1749945955.248,63.902
1749945955.842,63.904
1749945956.342,63.9
1749945956.858,63.903
1749945957.343,63.902
1749945957.845,63.901
1749945958.249,63.901
1749945958.845,63.905
1749945959.345,63.903
1749945959.845,63.902
1749945960.048,63.902
1749945960.361,63.907
1749945960.847,63.909
1749945961.248,63.909
1749945961.848,63.907
1749945962.363,63.908
1749945962.849,63.906
1749945963.05,63.906
1749945963.364,63.907
1749945963.849,63.907
1749945964.25,63.907
1749945964.851,63.907
1749945965.351,63.908
1749945965.851,63.907
1749945966.051,63.907
1749945966.383,63.906
1749945966.85,63.905
1749945967.25,63.905
1749945967.854,63.902
1749945968.353,63.903
1749945968.853,63.902
1749945969.355,63.903
1749945969.854,63.904
1749945970.252,63.904
1749945970.854,63.904
1749945971.354,63.902
1749945971.854,63.902
1749945972.354,63.899
1749945972.856,63.9
1749945973.251,63.9
1749945973.856,63.897
1749945974.356,63.895
1749945974.878,63.894
1749945975.356,63.891
1749945975.843,63.889
1749945976.252,63.889
1749945976.856,63.894
1749945977.358,63.893
1749945977.86,63.894
1749945978.359,63.895
1749945978.859,63.897
1749945979.254,63.897
1749945979.86,63.895
1749945980.361,63.897
1749945980.878,63.896
1749945981.36,63.897
1749945981.861,63.896
1749945982.255,63.896
1749945982.863,63.898
1749945983.363,63.897
1749945983.863,63.898
1749945984.363,63.897
1749945984.863,63.898
1749945985.256,63.898
1749945985.864,63.9
1749945986.364,63.899
1749945986.863,63.898
1749945987.366,63.9
1749945987.866,63.901
1749945988.259,63.901
1749945988.871,63.901
1749945989.367,63.897
1749945989.866,63.896
1749945990.367,63.893
1749945990.884,63.89
1749945991.262,63.89
1749945991.868,63.889
1749945992.385,63.888
1749945992.87,63.888
1749945993.387,63.889
1749945993.901,63.888
1749945994.263,63.888
1749945994.872,63.878
1749945995.392,63.878
1749945995.903,63.879
1749945996.402,63.878
1749945996.872,63.879
1749945997.266,63.879
1749945997.875,63.879
1749945998.375,63.88
1749945998.874,63.876
1749945999.375,63.876
1749945999.875,63.878
1749946000.266,63.878
1749946000.88,63.877
1749946001.375,63.875
1749946001.876,63.877
1749946002.376,63.878
1749946002.879,63.878
1749946003.266,63.878
1749946003.877,63.88
1749946004.379,63.882
1749946004.879,63.88
