time,price
1749949662.91,187.151
1749949663.41,187.153
1749949663.91,187.155
1749949664.224,187.155
1749949664.925,187.16
1749949665.425,187.16
1749949665.928,187.156
1749949666.428,187.156
1749949666.913,187.158
1749949667.227,187.158
1749949667.429,187.158
1749949667.929,187.155
1749949668.428,187.155
1749949668.929,187.159
1749949669.429,187.162
1749949669.929,187.159
1749949670.23,187.159
1749949670.447,187.157
1749949670.947,187.155
1749949671.417,187.155
1749949671.916,187.158
1749949672.449,187.158
1749949672.947,187.165
1749949673.232,187.165
1749949673.448,187.154
1749949673.932,187.151
1749949674.432,187.151
1749949674.947,187.151
1749949675.465,187.154
1749949675.965,187.154
1749949676.232,187.154
1749949676.466,187.152
1749949676.966,187.154
1749949677.433,187.154
1749949678.002,187.147
1749949678.516,187.155
1749949679.046,187.151
1749949679.545,187.154
1749949680.047,187.156
1749949680.549,187.16
1749949681.033,187.16
1749949681.564,187.157
1749949682.08,187.16
1749949682.565,187.163
1749949683.065,187.16
1749949683.58,187.157
1749949684.036,187.157
1749949684.566,187.157
1749949685.08,187.153
1749949685.551,187.144
1749949686.052,187.14
1749949686.553,187.142
1749949687.035,187.142
1749949687.553,187.143
1749949688.037,187.141
1749949688.568,187.139
1749949689.052,187.143
1749949689.554,187.132
1749949690.036,187.132
1749949690.555,187.132
1749949691.056,187.137
1749949691.555,187.135
1749949692.056,187.139
1749949692.556,187.143
1749949693.036,187.143
1749949693.556,187.154
1749949694.071,187.151
1749949694.576,187.146
1749949695.087,187.141
1749949695.621,187.139
1749949696.039,187.139
1749949696.59,187.133
1749949697.089,187.136
1749949697.59,187.133
1749949698.09,187.13
1749949698.611,187.134
1749949699.04,187.134
1749949699.605,187.145
1749949700.11,187.145
1749949700.608,187.135
1749949701.093,187.132
1749949701.61,187.132
1749949702.042,187.132
1749949702.61,187.132
1749949703.11,187.13
1749949703.625,187.127
1749949704.109,187.134
1749949704.608,187.146
1749949705.046,187.146
1749949705.61,187.139
1749949706.112,187.147
1749949706.612,187.144
1749949707.112,187.131
1749949707.6,187.129
